date,amount,category
2024-05-25,1916,Shopping
2024-03-25,1218,Transport
2024-12-01,1256,Transport
2024-06-21,85,Shopping
2024-09-17,1610,Education
2024-02-27,615,Shopping
2024-05-21,558,Groceries
2024-06-01,576,Entertainment
2024-11-16,1855,Groceries
2024-11-29,1324,Entertainment
2024-01-28,845,Food
2024-06-29,1009,Entertainment
2024-02-01,1391,Bills
2024-06-11,1235,Education
2024-02-06,502,Food
2024-01-21,940,Groceries
2024-08-18,471,Groceries
2024-05-31,672,Bills
2024-09-29,378,Transport
2024-04-22,551,Bills
2024-02-22,1727,Entertainment
2024-01-12,282,Transport
2024-01-26,1465,Transport
2024-03-01,1290,Education
2024-08-25,968,Transport
2024-05-09,1758,Bills
2024-02-16,1435,Groceries
2024-03-09,807,Bills
2024-03-21,1001,Food
2024-10-19,310,Bills
2024-05-16,1592,Education
2024-02-23,269,Food
2024-10-22,1102,Bills
2024-08-30,676,Bills
2024-12-26,944,Shopping
2024-08-05,961,Shopping
2024-02-20,1872,Bills
2024-02-14,412,Education
2024-12-30,1644,Education
2024-05-25,373,Education
2024-07-31,345,Food
2024-04-26,865,Groceries
2024-01-21,1038,Education
2024-12-09,1375,Education
2024-11-04,1822,Bills
2024-08-02,171,Food
2024-11-04,1678,Entertainment
2024-03-26,1508,Shopping
2024-10-19,424,Entertainment
2024-05-04,1627,Groceries
2024-08-09,285,Transport
2024-05-24,1133,Entertainment
2024-04-17,1044,Education
2024-04-27,936,Groceries
2024-03-15,1566,Shopping
2024-01-18,1310,Entertainment
2024-08-11,1263,Shopping
2024-02-29,1066,Food
2024-09-17,59,Transport
2024-07-06,813,Food
2024-07-04,1444,Entertainment
2024-06-13,540,Bills
2024-03-22,776,Education
2024-08-27,92,Transport
2024-07-10,1343,Education
2024-05-06,1913,Bills
2024-02-10,918,Shopping
2024-04-20,1076,Transport
2024-08-04,645,Shopping
2024-09-27,1025,Food
2024-06-04,715,Bills
2024-02-19,1154,Food
2024-03-08,378,Education
2024-03-26,1030,Education
2024-04-30,59,Groceries
2024-09-12,932,Transport
2024-03-21,1022,Education
2024-08-16,926,Transport
2024-04-07,1182,Bills
2024-10-23,1200,Entertainment
2024-11-14,169,Shopping
2024-06-12,60,Bills
2024-03-18,595,Transport
2024-01-09,1233,Food
2024-02-29,1485,Education
2024-04-05,1489,Education
2024-06-07,855,Bills
2024-02-18,1955,Bills
2024-10-19,1623,Transport
2024-05-30,1877,Groceries
2024-06-18,560,Food
2024-05-02,1257,Food
2024-12-12,89,Education
2024-01-04,1358,Education
2024-01-20,895,Groceries
2024-02-15,207,Food
2024-12-22,352,Education
2024-01-25,531,Groceries
2024-03-03,1096,Bills
2024-09-20,487,Food
2024-04-24,1071,Shopping
2024-11-14,156,Transport
2024-06-02,1294,Groceries
2024-10-28,394,Entertainment
2024-05-05,433,Entertainment
2024-04-28,1265,Transport
2024-08-25,1640,Entertainment
2024-07-02,949,Transport
2024-05-10,257,Food
2024-02-28,1634,Food
2024-11-04,1704,Entertainment
2024-09-03,1210,Transport
2024-09-13,828,Bills
2024-10-02,539,Entertainment
2024-12-09,435,Entertainment
2024-01-01,850,Entertainment
2024-08-11,1306,Education
2024-01-12,961,Groceries
2024-06-08,546,Shopping
2024-07-19,531,Bills
2024-03-03,1771,Shopping
2024-01-21,696,Food
2024-03-12,144,Transport
2024-04-04,213,Groceries
2024-06-28,354,Shopping
2024-02-23,1071,Food
2024-08-11,177,Bills
2024-05-01,1759,Entertainment
2024-08-22,175,Transport
2024-03-16,1138,Entertainment
2024-02-12,1934,Groceries
2024-12-26,1157,Bills
2024-08-16,793,Groceries
2024-09-10,60,Bills
2024-10-26,1366,Groceries
2024-01-26,1218,Entertainment
2024-03-18,1018,Groceries
2024-05-08,1090,Education
2024-04-25,1746,Food
2024-06-11,414,Education
2024-05-22,1341,Education
2024-01-19,1687,Entertainment
2024-03-02,60,Education
2024-05-03,1033,Education
2024-05-19,303,Food
2024-03-08,1604,Groceries
2024-11-07,748,Transport
2024-10-31,214,Entertainment
2024-10-13,1220,Entertainment
2024-12-24,1332,Food
2024-05-16,1958,Transport
2024-11-07,1656,Groceries
2024-01-01,846,Entertainment
2024-03-05,1886,Food
2024-10-30,946,Food
2024-08-07,510,Transport
2024-01-25,315,Groceries
2024-05-30,903,Shopping
2024-12-29,1321,Groceries
2024-01-10,336,Entertainment
2024-05-29,180,Food
2024-08-23,1967,Entertainment
2024-11-09,257,Entertainment
2024-08-13,813,Transport
2024-04-05,851,Shopping
2024-06-26,1646,Education
2024-10-01,190,Groceries
2024-09-16,613,Education
2024-10-05,286,Groceries
2024-11-25,1708,Bills
2024-05-20,1247,Shopping
2024-11-25,1023,Groceries
2024-05-23,203,Shopping
2024-01-02,930,Food
2024-05-30,810,Transport
2024-12-25,1915,Bills
2024-11-24,198,Groceries
2024-05-15,706,Groceries
2024-08-10,969,Transport
2024-10-15,1822,Education
2024-02-15,395,Transport
2024-06-23,630,Groceries
2024-04-23,476,Entertainment
2024-09-19,1684,Food
2024-07-30,1274,Transport
2024-12-19,1296,Education
2024-11-06,1376,Groceries
2024-04-10,863,Bills
2024-05-17,949,Transport
2024-02-04,1589,Food
2024-06-27,1234,Entertainment
2024-08-12,194,Bills
2024-05-08,921,Food
2024-01-14,1282,Bills
2024-02-08,1172,Education
2024-04-25,1042,Food
2024-11-05,1648,Education
2024-11-20,818,Shopping
2024-01-12,446,Shopping
2024-09-10,1150,Groceries
2024-07-10,789,Transport
2024-02-22,1203,Food
2024-09-21,1011,Groceries
2024-08-10,1866,Shopping
2024-01-14,1346,Education
2024-04-01,1860,Shopping
2024-09-28,1062,Groceries
2024-02-24,682,Groceries
2024-11-01,266,Entertainment
2024-10-31,1306,Shopping
2024-02-08,1812,Education
2024-05-21,1849,Shopping
2024-05-13,599,Bills
2024-04-16,1344,Food
2024-02-21,1903,Food
2024-10-12,1378,Bills
2024-09-14,390,Groceries
2024-06-03,1119,Education
2024-01-02,1731,Groceries
2024-12-10,1275,Groceries
2024-11-01,820,Transport
2024-04-29,1570,Entertainment
2024-11-14,1074,Bills
2024-10-28,749,Groceries
2024-12-20,266,Shopping
2024-04-20,1034,Bills
2024-09-22,849,Bills
2024-10-11,736,Education
2024-08-03,1950,Bills
2024-11-27,373,Bills
2024-01-25,430,Groceries
2024-07-14,474,Groceries
2024-12-02,1317,Bills
2024-08-05,445,Bills
2024-07-24,783,Entertainment
2024-03-02,553,Transport
2024-06-25,1234,Bills
2024-05-09,1241,Transport
2024-01-02,383,Entertainment
2024-03-13,624,Entertainment
2024-01-25,1285,Transport
2024-03-24,508,Entertainment
2024-07-16,326,Transport
2024-12-30,900,Entertainment
2024-08-02,108,Bills
2024-01-05,1005,Groceries
2024-11-12,731,Transport
2024-10-12,1413,Food
2024-03-04,633,Entertainment
2024-10-01,885,Transport
2024-06-12,195,Groceries
2024-08-13,1807,Bills
2024-01-03,1762,Education
2024-09-17,1590,Education
2024-01-02,1938,Entertainment
2024-10-14,675,Shopping
2024-06-04,1021,Shopping
2024-08-14,1540,Bills
2024-10-31,448,Education
2024-06-26,1389,Shopping
2024-03-16,1226,Bills
2024-04-18,1240,Groceries
2024-06-07,958,Groceries
2024-09-23,151,Entertainment
2024-01-23,761,Bills
2024-03-07,1719,Bills
2024-11-14,1043,Education
2024-10-28,1193,Bills
2024-05-29,1052,Bills
2024-08-18,1546,Food
2024-10-17,1112,Education
2024-03-22,439,Transport
2024-07-25,1765,Transport
2024-08-08,1977,Entertainment
2024-03-24,1391,Entertainment
2024-08-03,1335,Education
2024-07-11,1436,Bills
2024-11-18,1329,Shopping
2024-11-21,236,Food
2024-08-10,1432,Entertainment
2024-08-05,451,Food
2024-11-14,1066,Entertainment
2024-11-21,731,Shopping
2024-03-20,1222,Shopping
2024-04-10,1500,Shopping
2024-03-03,1355,Transport
2024-12-23,833,Shopping
2024-08-16,922,Transport
2024-01-08,941,Entertainment
2024-01-24,1006,Entertainment
2024-07-28,1007,Bills
2024-05-05,1884,Entertainment
2024-08-18,1346,Transport
2024-05-14,1101,Food
2024-09-09,71,Food
2024-03-09,1377,Entertainment
2024-01-12,63,Entertainment
2024-09-05,843,Transport
2024-07-31,935,Shopping
2024-02-18,1265,Food
2024-02-10,1429,Bills
2024-11-08,877,Shopping
2024-10-15,1385,Bills
2024-02-06,711,Entertainment
2024-08-13,1918,Education
2024-05-12,683,Shopping
2024-03-07,1302,Bills
2024-09-09,1971,Shopping
2024-06-14,570,Entertainment
2024-09-14,970,Groceries
2024-11-30,847,Transport
2024-05-03,469,Groceries
2024-08-03,1665,Education
2024-12-06,523,Shopping
2024-01-15,619,Education
2024-01-18,177,Shopping
2024-04-22,636,Food
2024-09-19,379,Bills
2024-05-24,1996,Transport
2024-07-12,1059,Bills
2024-06-19,1849,Entertainment
2024-04-22,581,Transport
2024-07-27,1790,Entertainment
2024-02-01,215,Entertainment
2024-08-12,960,Entertainment
2024-10-06,735,Shopping
2024-07-24,84,Food
2024-07-08,1474,Bills
2024-01-14,715,Transport
2024-10-13,516,Groceries
2024-03-02,606,Food
2024-03-02,899,Education
2024-08-12,773,Transport
2024-02-15,683,Bills
2024-09-25,705,Shopping
2024-11-09,1234,Food
2024-07-01,1442,Shopping
2024-02-11,1822,Bills
2024-02-23,1446,Shopping
2024-01-27,477,Groceries
2024-12-14,202,Food
2024-06-19,854,Education
2024-06-23,239,Food
2024-04-13,190,Bills
2024-07-03,1870,Entertainment
2024-06-24,932,Education
2024-04-17,1634,Groceries
2024-04-27,375,Transport
2024-08-25,871,Groceries
2024-12-02,1016,Bills
2024-11-21,1057,Education
2024-08-07,1245,Food
2024-01-07,997,Education
2024-01-19,1217,Bills
2024-01-07,932,Transport
2024-12-18,1280,Entertainment
2024-01-08,144,Transport
2024-11-13,1007,Education
2024-04-29,1231,Bills
2024-08-26,562,Shopping
2024-02-20,1007,Food
2024-12-26,1651,Groceries
2024-01-30,1069,Transport
2024-06-17,1234,Entertainment
2024-06-28,851,Shopping
2024-12-09,749,Education
2024-09-27,1813,Groceries
2024-05-22,1599,Shopping
2024-08-16,180,Education
2024-09-09,1003,Shopping
2024-11-08,76,Bills
2024-02-07,509,Groceries
2024-04-07,1910,Food
2024-12-09,1962,Education
2024-04-27,1780,Entertainment
2024-11-22,1233,Food
2024-01-25,1172,Shopping
2024-09-19,399,Groceries
2024-03-09,1033,Transport
2024-05-05,1298,Food
2024-03-30,920,Entertainment
2024-08-15,1585,Entertainment
2024-01-01,1021,Entertainment
2024-02-18,1854,Groceries
2024-09-22,1312,Education
2024-12-15,893,Entertainment
